int,string
ID,KOR_String
90010001,"사원번호 [0906], 실습 평가가 시작됩니다. 본 오퍼레이팅 AI, 호메로스가 진행을 맡겠습니다."
90010002,"전방에 있는 늑대 대상, 정확도 평가를 위한 [픽스] 과정을 시작하십시오."
90010003,탭(Tap) 또는 홀드(Hold)로 공격
90010004,"표준 공격 수행이 확인되었습니다. 이제, 회피 메커니즘을 실행하십시오."
90010005,본사에서 제공한 HUD는 공격 범위와 타이밍을 지시할 것입니다. 이를 엄수하십시오.
90010006,스와이프(Swipe)를 통해 회피 동작
90010007,"분석 결과, 방어 실패. 공격을 받았습니다. 절차에 따라 다시 시도하십시오."
90010008,"회피 동작, 성공. 그러나 전투 데이터에 따르면 최적의 회피는 아니었습니다. 반응 시간 개선이 필요합니다."
90010009,완벽한 회피 동작을 확인하였습니다. 이는 최고의 실행입니다.
90010010,"실습 평가를 종료합니다. 사원번호 [0906], 본 평가에서의 성과가 향후 임무 수행에 반영될 것입니다."
90010011,기대에 부응하는 성과를 보여주십시오.
90020001,"첫 임무입니다. 사원번호 [0906], 임무를 수행하십시오."
90020002,대상 퀘스트에 접속
90020003,해당 스테이지로 진입
90020004,임무에 대한 브리핑을 시작합니다. 동물 감상 가상환경 [사파리] 내에서 예기치 않은 동작 패턴이 보고되었습니다.
90020005,특정 회색곰 개체 [그래즐리]가 안정성 범위를 벗어나 사용자들에게 위협적 행동을 보이고 있습니다.
90020006,즉시 [픽스] 프로토콜을 실행하여 상황을 정상화하십시오.
90030001,"임무 완수를 확인하였습니다. 사원번호 [0906], 회색곰 개체 [그래즐리]의 폭주 상태가 안정화되었습니다."
90030002,이는 가상환경 [사파리]의 안전 프로토콜 내에서 적절한 대응이었습니다.
90030003,"사용자들의 안전을 확보하고, 시스템의 무결성을 유지한 것에 대하여 본 AI는 긍정적 평가를 내립니다."
90030004,"각 임무는 당신의 판단에 의해 시작되며, 본사의 지침은 필요한 경우에 한하여 제공됩니다."
90030005,"이는 당신의 성장과 발전을 독려하고, 더 큰 책임감을 부여하기 위함입니다. 각 임무를 통해 얻은 경험은 당신의 판단력과 문제 해결 능력을 향상시킬 것입니다."
90030006,당신의 역량에 따라 임무를 계획하고 수행하십시오. 당신의 독립적인 임무 수행을 기대합니다.
90070001,"사원번호 [0906], 주목하십시오."
90070002,최근 이상 현상이 감지되었습니다. 버그로 변형된 개체들이 예상치 못한 이동을 시작하였습니다.
90070003,현재 '그레이'라는 개체가 호러 어트랙션인 스페이스 오페라가 아닌 사파리 지역에 나타났습니다.
90070004,"이는 기존 데이터와 일치하지 않으며, 사파리의 고객에게 심각한 혼란을 야기할 수 있습니다."
90070005,사원님의 임무는 '그레이'를 안정화하고 원래 위치로 복귀시키는 것입니다.
90070006,"이 임무는 높은 숙련도를 요구합니다. 하지만, 당신의 능력을 믿습니다."
90070007,"안전과 성공을 기원합니다. 준비되셨다면, 임무를 시작해 주십시오."
