int,string
ID,KOR_String
30101001,공격력
30101002,방어력
30101003,체력
30101004,타격점
30101005,농락
30102001,1레벨 당 공격력이 1씩 상승한다.
30102002,1레벨 당 방어력이 1씩 상승한다.
30102003,1레벨 당 체력이 10씩 상승한다.
30102004,1레벨 당 속성 공격력이 2씩 상승한다.
30102005,1레벨 당 회피 게이지 충전률이 5씩 상승한다.
30201001,숙련된 사냥꾼
30201002,야생의 터프함
30201003,고장난 보호막
30201004,흡혈귀
30201005,묵직한 타격
30201006,개강하니까
30202001,약점 타입에 속하지 않아도 약점 보너스 발생
30202002,방어력이 30% 상승한다.
30202003,피격 시 30%의 확률로 데미지 상쇄
30202004,"체력이 초당 1%씩 감소하지만, 공격시 데미지의 30% 회복"
30202005,공격 시 회피게이지 2%씩 증가
30202006,공격 시 데미지 30% 증가
