int,string
ID,KOR_String
80010001,곰은 사람을 찢어
80010002,늑대가 낙타낳다!
80010003,친절한 이웃
80010004,저돌맹진
80010005,스페이스 오페라
80020001,"동물을 관람하는 서비스 사파리의 곰 '그래즐리'가 문제를 일으킨다고 한다.
그래즐리 처치"
80020002,"RPG게임의 탈것인 늑대가 버그를 일으켜 문제를 일으킨다.
스테이지에서 늑대 처치"
80020003,"호러 어트렉션 공포의 저택의 일반 오브젝트인 거미가 고객을 공격한다고 한다.
스파이더 처치"
80020004,"RPG의 맷돼지가 고객을 공격한다고 한다.
맷돼지 처치"
80020005,"외계인 그레이가 사파리에 등장했다고 한다.
에일리언 처치"
80030001,정기점검
80030002,임시점검
80030003,연장점검
80030004,긴급점검
80040001,Global 스테이지를 1회 도전
80040002,Local 스테이지를 3회 클리어
80040003,제작을 1회 시도
80040004,강화를 1회 시도
