int,string
ID,KOR_String
20010001,노멀 톤파 1레벨
20010002,노멀 톤파 2레벨
20010003,노멀 톤파 3레벨
20010004,노멀 톤파 4레벨
20010005,노멀 톤파 5레벨
20010006,노멀 톤파 6레벨
20010007,노멀 톤파 7레벨
20010008,노멀 톤파 8레벨
20010009,노멀 톤파 9레벨
20010010,노멀 톤파 10레벨
20020001,디버깅 톤파 1레벨
20020002,디버깅 톤파 2레벨
20020003,디버깅 톤파 3레벨
20020004,디버깅 톤파 4레벨
20020005,디버깅 톤파 5레벨
20020006,디버깅 톤파 6레벨
20020007,디버깅 톤파 7레벨
20020008,디버깅 톤파 8레벨
20020009,디버깅 톤파 9레벨
20020010,디버깅 톤파 10레벨
20030001,노멀 대검 1레벨
20030002,노멀 대검 2레벨
20030003,노멀 대검 3레벨
20030004,노멀 대검 4레벨
20030005,노멀 대검 5레벨
20030006,노멀 대검 6레벨
20030007,노멀 대검 7레벨
20030008,노멀 대검 8레벨
20030009,노멀 대검 9레벨
20030010,노멀 대검 10레벨
20040001,디버깅 대검 1레벨
20040002,디버깅 대검 2레벨
20040003,디버깅 대검 3레벨
20040004,디버깅 대검 4레벨
20040005,디버깅 대검 5레벨
20040006,디버깅 대검 6레벨
20040007,디버깅 대검 7레벨
20040008,디버깅 대검 8레벨
20040009,디버깅 대검 9레벨
20040010,디버깅 대검 10레벨
20050001,노멀 소드 1레벨
20050002,노멀 소드 2레벨
20050003,노멀 소드 3레벨
20050004,노멀 소드 4레벨
20050005,노멀 소드 5레벨
20050006,노멀 소드 6레벨
20050007,노멀 소드 7레벨
20050008,노멀 소드 8레벨
20050009,노멀 소드 9레벨
20050010,노멀 소드 10레벨
20060001,디버깅 소드 1레벨
20060002,디버깅 소드 2레벨
20060003,디버깅 소드 3레벨
20060004,디버깅 소드 4레벨
20060005,디버깅 소드 5레벨
20060006,디버깅 소드 6레벨
20060007,디버깅 소드 7레벨
20060008,디버깅 소드 8레벨
20060009,디버깅 소드 9레벨
20060010,디버깅 소드 10레벨
20070001,노멀 스피어 1레벨
20070002,노멀 스피어 2레벨
20070003,노멀 스피어 3레벨
20070004,노멀 스피어 4레벨
20070005,노멀 스피어 5레벨
20070006,노멀 스피어 6레벨
20070007,노멀 스피어 7레벨
20070008,노멀 스피어 8레벨
20070009,노멀 스피어 9레벨
20070010,노멀 스피어 10레벨
20080001,디버깅 스피어 1레벨
20080002,디버깅 스피어 2레벨
20080003,디버깅 스피어 3레벨
20080004,디버깅 스피어 4레벨
20080005,디버깅 스피어 5레벨
20080006,디버깅 스피어 6레벨
20080007,디버깅 스피어 7레벨
20080008,디버깅 스피어 8레벨
20080009,디버깅 스피어 9레벨
20080010,디버깅 스피어 10레벨
21001101,지급된 HMD (헬멧) 1레벨
21001201,지급된 방탄조끼 (아머) 1레벨
21001301,지급된 전술바지 (그리브) 1레벨
21001401,유틸리티 벨트 (벨트) 1레벨
21001501,지급된 시계 (글러브) 1레벨
21002101,추적자의 본능 (헬멧) 1레벨
21002201,사냥꾼의 은신 (아머) 1레벨
21002301,정찰자의 민첩 (그리브) 1레벨
21002401,정밀의 사냥 (벨트) 1레벨
21002501,매복의 손길 (글러브) 1레벨
21003101,야생의 강인 (헬멧) 1레벨
21003201,포식자의 갑옷 (아머) 1레벨
21003301,생존의 요새 (그리브) 1레벨
21003401,야생의 지구력 (벨트) 1레벨
21003501,자연의 방어 (글러브) 1레벨
21004101,스카우터 (헬멧) 1레벨
21004201,디코이 (아머) 1레벨
21004301,픽셀레이티드 (그리브) 1레벨
21004401,데이터 누출 (벨트) 1레벨
21004501,프로그램 애러 (글러브) 1레벨
21005101,밤의 군주 (헬멧) 1레벨
21005201,어둠의 속삭임 (아머) 1레벨
21005301,영원한 암흑 (그리브) 1레벨
21005401,피의 욕망 (벨트) 1레벨
21005501,그림자의 손아귀 (글러브) 1레벨
21006101,전투의 충격 (헬멧) 1레벨
21006201,강철의 일격 (아머) 1레벨
21006301,무거운 충돌 (그리브) 1레벨
21006401,파괴의 무게 (벨트) 1레벨
21006501,짓누르는 힘 (글러브) 1레벨
21007101,힘의 시작 (헬멧) 1레벨
21007201,새로운 여정 (아머) 1레벨
21007301,모험의 첫걸음 (그리브) 1레벨
21007401,개척자의 도전 (벨트) 1레벨
21007501,시작의 용기 (글러브) 1레벨
21001102,지급된 HMD (헬멧) 2레벨
21001202,지급된 방탄조끼 (아머) 2레벨
21001302,지급된 전술바지 (그리브) 2레벨
21001402,유틸리티 벨트 (벨트) 2레벨
21001502,지급된 시계 (글러브) 2레벨
