int,string
ID,KOR_String
10010001,Idle
10010002,Move_up
10010003,Move_down
10010004,Move_left
10010005,Move_right
10010006,Move_attack
10010007,Gethit
10010008,Dead
10020001,Tonfa_combo1
10020002,Tonfa_combo2
10020003,Tonfa_combo3
10020004,Tonfa_combo4
10020005,Tonfa_combo5
10020006,Tonfa_super
10020007,Greatsword_combo1
10020008,Greatsword_combo2
10020009,Greatsword_combo3
10020010,Greatsword_combo4
10020011,Greatsword_super
10020012,Sword_cbo1
10020013,Sword_cbo2
10020014,Sword_cbo3
10020015,Sword_cbo4
10020016,Sword_super
10020017,Spear_cbo1
10020018,Spear_cbo2
10020019,Spear_cbo3
10020020,Spear_cbo4
10020021,Spear_super
10020022,idle_inplace
10020023,avoid_front_inplace
10020024,avoid_back_inplace
10020025,avoid_left_inplace
10020026,avoid_right2_inplace
10020027,Sprint_inplace
10020028,hitted_head_front_inplace
10020029,dead5_inplace
10020030,Fighter@Attack_5Combo_A_1
10020031,Fighter@Attack_5Combo_A_2
10020032,Fighter@Attack_5Combo_A_3
10020033,Fighter@Attack_5Combo_A_4
10020034,Fighter@Attack_5Combo_A_5
10020035,Fighter@Skill_J_B
10020036,2H@Attack01
10020037,2H@Attack02
10020038,2H@Attack03
10020039,2H@Attack04
10020040,atk_04
10020041,Combo_04_1_inplace
10020042,Combo_04_2_inplace
10020043,Combo_04_3_inplace
10020044,Combo_04_4_inplace
10020045,Combo_03_inplace
10020046,Attack_01_inplace
10020047,Attack_02_inplace
10020048,Attack_03_inplace
10020049,Attack_04_inplace
10020050,Combo_Stings_inplace
